threads,time
5,0.000000
10,0.000000
15,0.000000
20,0.000000
25,0.000000
30,1.000000
35,1.000000
40,2.000000
45,1.000000
50,2.000000
100,2.000000
150,5.000000
200,6.000000
250,8.000000
300,10.000000
350,11.000000
400,15.000000
450,14.000000
500,17.000000
750,28.000000
1000,46.000000
1250,51.000000
1500,64.000000
1750,69.000000
2000,79.000000
2250,95.000000
2500,106.000000
3000,119.000000
3500,140.000000
7500,284.000000
5,0.000000
10,0.000000
15,0.000000
20,0.000000
25,0.000000
30,0.000000
35,1.000000
40,3.000000
45,3.000000
50,3.000000
100,3.000000
150,8.000000
200,7.000000
250,12.000000
300,22.000000
350,12.000000
400,15.000000
450,23.000000
500,22.000000
750,34.000000
1000,45.000000
1250,45.000000
1500,61.000000
1750,72.000000
2000,77.000000
2250,84.000000
2500,94.000000
3000,106.000000
3500,125.000000
7500,262.000000
5,0.000000
10,0.000000
15,0.000000
20,0.000000
25,0.000000
30,0.000000
35,1.000000
40,1.000000
45,1.000000
50,2.000000
100,4.000000
150,8.000000
200,15.000000
250,12.000000
300,16.000000
350,20.000000
400,22.000000
450,15.000000
500,19.000000
750,32.000000
1000,40.000000
1250,39.000000
1500,54.000000
1750,67.000000
2000,66.000000
2250,80.000000
2500,88.000000
3000,110.000000
3500,123.000000
7500,260.000000
5,0.000000
10,0.000000
15,0.000000
20,0.000000
25,0.000000
30,0.000000
35,1.000000
40,1.000000
45,1.000000
50,1.000000
100,3.000000
150,5.000000
200,6.000000
250,8.000000
300,11.000000
350,12.000000
400,13.000000
450,14.000000
500,20.000000
750,24.000000
1000,35.000000
1250,47.000000
1500,51.000000
1750,66.000000
2000,68.000000
2250,89.000000
2500,95.000000
3000,110.000000
3500,121.000000
7500,249.000000
5,0.000000
10,0.000000
15,0.000000
20,0.000000
25,1.000000
30,0.000000
35,0.000000
40,1.000000
45,1.000000
50,1.000000
100,2.000000
150,4.000000
200,7.000000
250,7.000000
300,8.000000
350,10.000000
400,14.000000
450,15.000000
500,16.000000
750,31.000000
1000,37.000000
1250,36.000000
1500,48.000000
1750,57.000000
2000,65.000000
2250,69.000000
2500,82.000000
3000,89.000000
3500,113.000000
7500,236.000000
5,0.000000
10,0.000000
15,0.000000
20,0.000000
25,0.000000
30,0.000000
35,0.000000
40,1.000000
45,1.000000
50,1.000000
100,3.000000
150,6.000000
200,7.000000
250,10.000000
300,12.000000
350,10.000000
400,11.000000
450,15.000000
500,15.000000
750,30.000000
1000,33.000000
1250,38.000000
1500,50.000000
1750,56.000000
2000,67.000000
2250,85.000000
2500,87.000000
3000,96.000000
3500,118.000000
7500,262.000000
5,0.000000
10,0.000000
15,0.000000
20,0.000000
25,0.000000
30,0.000000
35,1.000000
40,1.000000
45,1.000000
50,2.000000
100,4.000000
150,6.000000
200,5.000000
250,7.000000
300,11.000000
350,14.000000
400,18.000000
450,18.000000
500,20.000000
750,31.000000
1000,42.000000
1250,51.000000
1500,67.000000
1750,68.000000
2000,81.000000
2250,77.000000
2500,106.000000
3000,103.000000
3500,134.000000
7500,281.000000
5,0.000000
10,0.000000
15,0.000000
20,0.000000
25,1.000000
30,1.000000
35,1.000000
40,1.000000
45,1.000000
50,1.000000
100,2.000000
150,4.000000
200,5.000000
250,7.000000
300,9.000000
350,10.000000
400,11.000000
450,14.000000
500,15.000000
750,36.000000
1000,46.000000
1250,54.000000
1500,57.000000
1750,74.000000
2000,73.000000
2250,83.000000
2500,99.000000
3000,103.000000
3500,105.000000
7500,251.000000
5,0.000000
10,0.000000
15,0.000000
20,1.000000
25,0.000000
30,1.000000
35,1.000000
40,1.000000
45,2.000000
50,1.000000
100,3.000000
150,4.000000
200,7.000000
250,7.000000
300,12.000000
350,13.000000
400,12.000000
450,16.000000
500,16.000000
750,24.000000
1000,31.000000
1250,42.000000
1500,54.000000
1750,66.000000
2000,73.000000
2250,86.000000
2500,78.000000
3000,97.000000
3500,122.000000
7500,290.000000
5,0.000000
10,0.000000
15,0.000000
20,0.000000
25,0.000000
30,1.000000
35,1.000000
40,1.000000
45,1.000000
50,3.000000
100,3.000000
150,7.000000
200,7.000000
250,12.000000
300,13.000000
350,14.000000
400,17.000000
450,17.000000
500,17.000000
750,23.000000
1000,31.000000
1250,45.000000
1500,42.000000
1750,51.000000
2000,67.000000
2250,71.000000
2500,75.000000
3000,98.000000
3500,104.000000
7500,227.000000
