threads,time
50,1.000000
500,16.000000
1000,33.000000
1500,48.000000
2000,83.000000
2500,82.000000
3000,97.000000
3500,113.000000
4000,132.000000
4500,147.000000
5000,161.000000
5500,181.000000
6000,193.000000
6500,213.000000
7000,223.000000
7500,246.000000
8000,258.000000
8500,276.000000
9000,286.000000
9500,311.000000
10000,322.000000
50,1.000000
500,15.000000
1000,34.000000
1500,48.000000
2000,64.000000
2500,81.000000
3000,97.000000
3500,113.000000
4000,133.000000
4500,145.000000
5000,161.000000
5500,178.000000
6000,196.000000
6500,208.000000
7000,231.000000
7500,241.000000
8000,261.000000
8500,273.000000
9000,293.000000
9500,308.000000
10000,322.000000
50,1.000000
500,15.000000
1000,32.000000
1500,51.000000
2000,64.000000
2500,80.000000
3000,97.000000
3500,112.000000
4000,130.000000
4500,143.000000
5000,162.000000
5500,182.000000
6000,195.000000
6500,216.000000
7000,225.000000
7500,246.000000
8000,258.000000
8500,274.000000
9000,293.000000
9500,308.000000
10000,320.000000
50,1.000000
500,15.000000
1000,32.000000
1500,50.000000
2000,64.000000
2500,78.000000
3000,95.000000
3500,110.000000
4000,130.000000
4500,150.000000
5000,164.000000
5500,178.000000
6000,195.000000
6500,206.000000
7000,226.000000
7500,242.000000
8000,260.000000
8500,269.000000
9000,292.000000
9500,307.000000
10000,325.000000
50,1.000000
500,17.000000
1000,32.000000
1500,47.000000
2000,68.000000
2500,79.000000
3000,96.000000
3500,111.000000
4000,128.000000
4500,147.000000
5000,164.000000
5500,177.000000
6000,195.000000
6500,209.000000
7000,227.000000
7500,238.000000
8000,265.000000
8500,273.000000
9000,295.000000
9500,307.000000
10000,328.000000
50,1.000000
500,17.000000
1000,32.000000
1500,47.000000
2000,65.000000
2500,83.000000
3000,95.000000
3500,111.000000
4000,128.000000
4500,148.000000
5000,158.000000
5500,179.000000
6000,197.000000
6500,214.000000
7000,231.000000
7500,242.000000
8000,258.000000
8500,272.000000
9000,288.000000
9500,308.000000
10000,326.000000
50,1.000000
500,16.000000
1000,31.000000
1500,47.000000
2000,64.000000
2500,82.000000
3000,96.000000
3500,117.000000
4000,130.000000
4500,146.000000
5000,162.000000
5500,177.000000
6000,197.000000
6500,212.000000
7000,228.000000
7500,241.000000
8000,259.000000
8500,277.000000
9000,298.000000
9500,304.000000
10000,320.000000
50,1.000000
500,18.000000
1000,31.000000
1500,47.000000
2000,63.000000
2500,80.000000
3000,99.000000
3500,114.000000
4000,133.000000
4500,145.000000
5000,164.000000
5500,181.000000
6000,198.000000
6500,210.000000
7000,226.000000
7500,243.000000
8000,257.000000
8500,284.000000
9000,293.000000
9500,305.000000
10000,322.000000
50,1.000000
500,16.000000
1000,33.000000
1500,47.000000
2000,63.000000
2500,81.000000
3000,101.000000
3500,113.000000
4000,131.000000
4500,146.000000
5000,162.000000
5500,176.000000
6000,215.000000
6500,208.000000
7000,225.000000
7500,241.000000
8000,258.000000
8500,280.000000
9000,294.000000
9500,318.000000
10000,328.000000
50,1.000000
500,17.000000
1000,33.000000
1500,48.000000
2000,64.000000
2500,79.000000
3000,96.000000
3500,112.000000
4000,127.000000
4500,143.000000
5000,159.000000
5500,177.000000
6000,195.000000
6500,225.000000
7000,245.000000
7500,270.000000
8000,254.000000
8500,322.000000
9000,332.000000
9500,360.000000
10000,373.000000
