threads,time
10,1.000000
20,3.000000
30,5.000000
40,8.000000
50,11.000000
60,17.000000
70,19.000000
80,24.000000
90,30.000000
100,37.000000
200,143.000000
300,426.000000
400,739.000000
10,1.000000
20,4.000000
30,6.000000
40,8.000000
50,11.000000
60,17.000000
70,20.000000
80,25.000000
90,29.000000
100,37.000000
200,143.000000
300,341.000000
400,669.000000
10,1.000000
20,3.000000
30,5.000000
40,8.000000
50,11.000000
60,16.000000
70,19.000000
80,26.000000
90,31.000000
100,38.000000
200,146.000000
300,357.000000
400,1043.000000
10,2.000000
20,6.000000
30,14.000000
40,15.000000
50,18.000000
60,28.000000
70,41.000000
80,46.000000
90,43.000000
100,48.000000
200,236.000000
300,527.000000
400,862.000000
10,1.000000
20,3.000000
30,5.000000
40,7.000000
50,11.000000
60,21.000000
70,35.000000
80,41.000000
90,60.000000
100,52.000000
200,187.000000
300,370.000000
400,743.000000
10,1.000000
20,4.000000
30,6.000000
40,8.000000
50,11.000000
60,25.000000
70,28.000000
80,44.000000
90,39.000000
100,51.000000
200,157.000000
300,386.000000
400,732.000000
10,1.000000
20,3.000000
30,8.000000
40,12.000000
50,13.000000
60,21.000000
70,33.000000
80,56.000000
90,52.000000
100,52.000000
200,168.000000
300,366.000000
400,743.000000
10,1.000000
20,3.000000
30,7.000000
40,8.000000
50,11.000000
60,25.000000
70,23.000000
80,27.000000
90,45.000000
100,52.000000
200,165.000000
300,400.000000
400,770.000000
10,1.000000
20,3.000000
30,7.000000
40,15.000000
50,19.000000
60,30.000000
70,31.000000
80,35.000000
90,41.000000
100,39.000000
200,212.000000
300,422.000000
400,869.000000
10,1.000000
20,4.000000
30,7.000000
40,12.000000
50,16.000000
60,23.000000
70,37.000000
80,53.000000
90,36.000000
100,53.000000
200,198.000000
300,369.000000
400,689.000000
