threads,time
10,0.000000
20,0.000000
50,2.000000
80,8.000000
100,16.000000
200,207.000000
10,0.000000
20,0.000000
50,2.000000
80,12.000000
100,16.000000
200,135.000000
10,0.000000
20,0.000000
50,2.000000
80,8.000000
100,16.000000
200,138.000000
10,0.000000
20,0.000000
50,2.000000
80,8.000000
100,19.000000
200,147.000000
10,0.000000
20,0.000000
50,2.000000
80,8.000000
100,18.000000
200,135.000000
10,0.000000
20,0.000000
50,2.000000
80,8.000000
100,17.000000
200,143.000000
10,0.000000
20,0.000000
50,2.000000
80,9.000000
100,17.000000
200,135.000000
10,0.000000
20,0.000000
50,2.000000
80,8.000000
100,16.000000
200,134.000000
10,0.000000
20,0.000000
50,2.000000
80,8.000000
100,18.000000
200,145.000000
10,0.000000
20,0.000000
50,2.000000
80,8.000000
100,16.000000
200,147.000000
