threads,time
10,0.000000
20,0.000000
30,0.000000
40,1.000000
50,3.000000
60,5.000000
70,7.000000
80,10.000000
90,18.000000
100,21.000000
200,148.000000
300,528.000000
400,1185.000000
500,2496.000000
600,4149.000000
700,7283.000000
800,10369.000000
900,14893.000000
1000,20303.000000
1500,101351.000000
2000,198801.000000
2500,419243.000000
3000,729725.000000
10,0.000000
20,0.000000
30,0.000000
40,1.000000
50,2.000000
60,6.000000
70,13.000000
80,11.000000
90,17.000000
100,31.000000
200,207.000000
300,706.000000
400,2232.000000
500,3133.000000
