threads,time
10,3.000000
20,2.000000
30,6.000000
40,12.000000
50,39.000000
60,28.000000
70,22.000000
80,33.000000
90,73.000000
100,131.000000
200,497.000000
300,1187.000000
400,2314.000000
500,4204.000000
600,8864.000000
700,11371.000000
800,15797.000000
900,22936.000000
1000,31588.000000
1500,117299.000000
2000,284937.000000
2500,566107.000000
3000,966774.000000
10,0.000000
20,1.000000
30,3.000000
40,5.000000
50,9.000000
60,15.000000
70,20.000000
80,30.000000
90,39.000000
100,52.000000
200,308.000000
300,945.000000
400,2151.000000
500,4039.000000
600,6829.000000
700,11249.000000
800,16332.000000
900,22840.000000
1000,31585.000000
1500,116628.000000
2000,283237.000000
2500,562631.000000
3000,970157.000000
10,0.000000
20,5.000000
30,4.000000
40,5.000000
50,9.000000
60,15.000000
70,21.000000
80,30.000000
90,39.000000
100,57.000000
200,312.000000
300,947.000000
400,2257.000000
500,4070.000000
600,6823.000000
700,11124.000000
800,16265.000000
900,23990.000000
1000,32277.000000
1500,116646.000000
2000,285122.000000
2500,561985.000000
3000,976218.000000
10,0.000000
20,3.000000
30,3.000000
40,5.000000
50,9.000000
60,43.000000
70,26.000000
80,54.000000
90,40.000000
100,79.000000
200,339.000000
300,968.000000
400,2307.000000
500,4399.000000
600,6949.000000
700,11332.000000
800,16064.000000
900,22944.000000
1000,31597.000000
1500,116843.000000
2000,284749.000000
2500,565477.000000
3,10.000000
3,0.000000
3,0.000000
3,0.000000
3,0.000000
4,0.000000
