threads,time
10,0.000000
20,1.000000
50,2.000000
80,10.000000
100,12.000000
200,98.000000
10,0.000000
20,0.000000
50,3.000000
80,15.000000
100,19.000000
200,92.000000
10,0.000000
20,0.000000
50,6.000000
80,10.000000
100,17.000000
200,89.000000
10,1.000000
20,0.000000
50,7.000000
80,14.000000
100,19.000000
200,87.000000
10,2.000000
20,0.000000
50,4.000000
80,10.000000
100,25.000000
200,104.000000
10,0.000000
20,2.000000
50,6.000000
80,11.000000
100,20.000000
200,100.000000
10,0.000000
20,1.000000
50,7.000000
80,41.000000
100,64.000000
200,103.000000
10,10.000000
20,3.000000
50,7.000000
80,18.000000
100,17.000000
200,94.000000
10,0.000000
20,4.000000
50,2.000000
80,13.000000
100,26.000000
200,90.000000
10,0.000000
20,0.000000
50,3.000000
80,12.000000
100,21.000000
200,119.000000
