threads,time
10,0.000000
20,0.000000
30,0.000000
40,1.000000
50,2.000000
60,3.000000
70,5.000000
80,8.000000
90,12.000000
100,17.000000
200,150.000000
300,403.000000
400,946.000000
500,1932.000000
600,3507.000000
700,5139.000000
800,9508.000000
900,14402.000000
1000,22824.000000
1500,83806.000000
2000,178391.000000
2500,363371.000000
3000,922549.000000
10,0.000000
20,0.000000
30,0.000000
40,2.000000
50,2.000000
60,5.000000
70,7.000000
80,11.000000
90,15.000000
100,37.000000
200,412.000000
300,1204.000000
400,2654.000000
500,4295.000000
600,5955.000000
